"cmd","addr","end","rendercmd","jp","en","en",,
"String","0x14FA7","0x14FAF","vwf standard","ここで軍備します　","Focus on Arms.","Focus on Arms.",,
"String","0x14FAF","0x14FB7","vwf standard","ここで軍事します　","Focus on Military.","Focus on Military.",,
"String","0x14FB7","0x14FBF","vwf standard","ここで探索します　","Focus on Search.","Focus on search.",,
"String","0x14FBF","0x14FC9","vwf standard","上級ルールしかできない","Only available in Advanced Rules.","Only available in advanced rules.",,
"String","0x14FC9","0x14FCF","vwf standard","召集部隊がいない！","No mustered Squadron!","No mustered squadron!",,
"String","0x14FCF","0x14FD8","vwf standard","このマスターはできない","Impossible for this Master.","Impossible for this Master.",,
"String","0x14FD8","0x14FE2","vwf standard","強制委任で指揮できない","Cannot[space3px]command[space3px]due[space3px]to[space3px]forced[space3px]delegation.","Cannot command due to forced delegation.",,
"FontPack","0x16064","0x1607C",,,,,,
"String","0x1607C","0x1607E","vwf standard","英雄を発見した！","A Hero has been found!","A Hero has been found!",,
"String","0x1607E","0x16080","vwf standard","雇いますか？","Hire?","Hire?",,
"String","0x16080","0x16084","vwf standard","雇いました","Hired.","Hired.",,
"String","0x16084","0x16089","vwf standard","やめました","Not hired.","Not hired.",,
,,,,"//=================================================",,,,
,,,,"// calls to 0x19C6:",,,,
,,,,"//=================================================",,,,
,,,,,,,,
,,,,"//=============================================",,,,
,,,,"// Phase 1: Round start events",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0x606D","0x608D",,,,,,
"String","0x6063","0x606B","vwf narrow pad 32","開始","Start","Start","NOTE: 6069 -> 6063",
"String","0xE1C6","0xE1C8","vwf standard","地震が発生した！","Earthquake!","Earthquake!",,
"String","0xE1C8","0xE1CF","vwf standard","疫病が流行した！","A plague is spreading!","A plague is spreading!",,
"String","0xE1CF","0xE1D3","vwf standard","大嵐が発生した！","Storm!","Storm!",,
"String","0xE1D3","0xE1D6","vwf standard","ロック鳥襲撃！","Rocs are attacking!","Rocs are attacking!",,
"String","0xE1D6","0xE1DC","vwf standard","金脈を発見した！","Gold vein found!","Gold vein found!",,
"String","0xE1DC","0xE1DF","vwf standard","部隊成長！","Squadron growth!","Squadron has grown!",,
"String","0xE1DF","0xE1E4","vwf standard","モンスター襲撃！","Monsters are attacking!","Monsters are attacking!",,
"String","0xE1E4","0xE1E7","vwf standard","襲撃！","Surprise attack!","Surprise attack!",,
"String","0x6060",,"vwf narrow pad 32","開始","Start",,"NOTE: 6069 -> 6060",
,,,,"//=============================================",,,,
,,,,"// Phase 2: Event phase",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0x608D","0x60C2",,,,,,
"String","0x606B","0x606D","vwf narrow pad 32","イベント","Event","Event",,
"String","0xE52E","0xE530","vwf standard","イベントを受け取って下さい","Please accept this Event.","Please choose an Event.",,
"String","0xE530","0xE534","vwf standard","』を獲得した"," acquired.",""" acquired.",,
"String","0xE534","0xE539","vwf standard","練金術に成功した！","Alchemy successful!","Alchemy successful!",,
"String","0xE539","0xE53F","vwf standard","祝福された！","Blessed!","Blessed!",,
"String","0xE53F","0xE546","vwf standard","不穏になった！","Unrest!","Unrest!",,
"String","0xE546","0xE54C","vwf standard","呪縛された！","Cursed!","Cursed!",,
"String","0xE54C","0xE551","vwf standard","部隊成長！","Squadron growth!","Squadron Growth!",,
"String","0xE551","0xE557","vwf standard","襲撃された！","Assaulted!","Assaulted!",,
"String","0xE557","0xE55B","vwf standard","反乱が起きた！","Revolt in progress!","Revolt in progress!",,
"String","0xE55B","0xE563","vwf standard","これ以上、持てません！","Cannot carry any more!","Cannot carry any more!",,
"String","0xE563","0xE56B","vwf standard","イベントを１つ捨てて下さい","Please drop 1 Event.","Please drop 1 Event.",,
,,,,"//=============================================",,,,
,,,,"// Phase 3: Policy phase",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0x60C2","0x60CF",,,,,,
,,,,"// label for menu",,,,
,,,,"// NOTE: string definition is shared with other",,,,
,,,,"// labels, so some code needs to be altered",,,,
,,,,,,,,
"String","0x6064","0x606B","vwf narrow pad 32","政策","Policy","Policy","NOTE: 6069 -> 6064",
,,,,"// version 1?",,,,
,,,,,,,,
"String","0xE7DA","0xE7DC","vwf narrow pad 32","情報","Info","Info",,
"String","0xE7DC","0xE7DE","vwf narrow pad 32","外交","Negotiate","Diplomacy",,
"String","0xE7DE","0xE7E0","vwf narrow pad 32","委任","Delegate","Delegate",,
"String","0xE7E0","0xE7E2","vwf narrow pad 32","機能","Options","Options",,
"String","0xE7E2","0xE7E4","vwf narrow pad 32","終了","End","End",,
,,,,"// version 2?",,,,
,,,,,,,,
"String","0xE7E6","0xE7E8","vwf narrow pad 32","情報","Info","Info",,
"String","0xE7E8","0xE7EA","vwf narrow pad 32","外交","Negotiate","Diplomacy",,
"String","0xE7EA","0xE7EC","vwf narrow pad 32","策略","Scheme","Stratagem",,
"String","0xE7EC","0xE7EE","vwf narrow pad 32","委任","Delegate","Delegate",,
"String","0xE7EE","0xE7F0","vwf narrow pad 32","機能","Options","Options",,
"String","0xE7F0","0xE7F2","vwf narrow pad 32","終了","End","End",,
,,,,"//=============================================",,,,
,,,,"// Phase 4: Tactics phase",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0x60CF","0x60E5",,,,,,
,,,,"// label for menu",,,,
,,,,"// NOTE: string definition is shared with other",,,,
,,,,"// labels, so some code needs to be altered",,,,
,,,,,,,,
"String","0x6065","0x606B","vwf narrow pad 32","作戦","War","Tactics","NOTE: 6069 -> 6065",
,,,,"// version 1?",,,,
,,,,,,,,
"String","0xECC6","0xECC8","vwf narrow pad 32","情報","Info","Info",,
"String","0xECC8","0xECCA","vwf narrow pad 32","移動","Move","Move",,
"String","0xECCA","0xECCC","vwf narrow pad 32","侵攻","Invade","Invade",,
"String","0xECCC","0xECCE","vwf narrow pad 32","召集","Muster","Muster",,
"String","0xECCE","0xECD0","vwf narrow pad 32","委任","Delegate","Delegate",,
"String","0xECD0","0xECD2","vwf narrow pad 32","機能","Options","Options",,
"String","0xECD2","0xECD4","vwf narrow pad 32","終了","End","End",,
,,,,"// version 2?",,,,
,,,,,,,,
"String","0xECD6","0xECD8","vwf narrow pad 32","情報","Info","Info",,
"String","0xECD8","0xECDA","vwf narrow pad 32","移動","Move","Move",,
"String","0xECDA","0xECDC","vwf narrow pad 32","偵察","Scout","Scout",,
"String","0xECDC","0xECDE","vwf narrow pad 32","侵攻","Invade","Invade",,
"String","0xECDE","0xECE0","vwf narrow pad 32","召集","Muster","Muster",,
"String","0xECE0","0xECE2","vwf narrow pad 32","召喚","Summon","Summon",,
"String","0xECE2","0xECE4","vwf narrow pad 32","策略","Scheme","Stratagem",,
,,,,"// version 3?",,,,
,,,,,,,,
"String","0xECE6","0xECE8","vwf narrow pad 32","訓練","Train","Train",,
"String","0xECE8","0xECEA","vwf narrow pad 32","休養","Rest","Rest",,
"String","0xECEA","0xECEC","vwf narrow pad 32","委任","Delegate","Delegate",,
"String","0xECEC","0xECEE","vwf narrow pad 32","機能","Options","Options",,
"String","0xECEE","0xECF0","vwf narrow pad 32","終了","End","End",,
"String","0xECF0","0xECF1","default","　",,,,
"String","0xECF1","0xECF2","default","　",,,,
,,,,"// version 4?",,,,
,,,,,,,,
"String","0xECF4","0xECF6","vwf narrow pad 32","訓練","Train","Train",,
"String","0xECF6","0xECF8","vwf narrow pad 32","休養","Rest","Rest",,
"String","0xECF8","0xECFA","vwf narrow pad 32","探索","Search","Search",,
"String","0xECFA","0xECFC","vwf narrow pad 32","英雄","Heroes","Heroes",,
"String","0xECFC","0xECFE","vwf narrow pad 32","委任","Delegate","Delegate",,
"String","0xECFE","0xED00","vwf narrow pad 32","機能","Options","Options",,
"String","0xED00","0xED02","vwf narrow pad 32","終了","End","End",,
,,,,"//=============================================",,,,
,,,,"// Territory names for domestic/foreign",,,,
,,,,"// affairs options in information menu",,,,
,,,,"// (split across 5 font packs)",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0x383C2","0x38402",,,,,,
"String","0x382BC","0x382BE","vwf standard","ローランド平原地帯","Rowland Plains","Rowland Plains",,
"String","0x382BE","0x382C5","vwf standard","ナースホルン平原地帯","Nashorn Plains","Nashorn Plains",,
"String","0x382C5","0x382C9","vwf standard","バッハム遺跡地帯","Bachem Ruins","Bachem Ruins",,
"String","0x382C9","0x382CF","vwf standard","レプラス平原地帯","Leplace Plains","Leplace Plains",,
"String","0x382CF","0x382D8","vwf standard","ムルバース密林地帯","Mulberth Forest","Mulberth Forest",,
"String","0x382D8","0x382DF","vwf standard","グライナス平原地帯","Grynus Plains","Grynus Plains",,
"String","0x382DF","0x382E9","vwf standard","北カルミスタ森林地帯","Northern Calmista Woods","Northern Calmista Woods",,
"String","0x382E9","0x382F0","vwf standard","テスカイア平原地帯","Tesgaia Plains","Tesgaia Plains",,
"FontPack","0x38402","0x3844D",,,,,,
"String","0x382F0","0x382F2","vwf standard","イジフミガト丘陵地帯","Egyphmigat Hills","Egyphmigat Hills",,
"String","0x382F2","0x382F8","vwf standard","北ガザ砂漠地帯","Northern Gaza Desert","Northern Gaza Desert",,
"String","0x382F8","0x382FC","vwf standard","ドラグーン火山地帯","Dragoon Volcano","Dragoon Volcano",,
"String","0x382FC","0x38303","vwf standard","パランニール島／森林","Paranneal Island/Woods","Paranneal Island/Woods",,
"String","0x38303","0x38309","vwf standard","ザクハルト丘陵地帯","Zakhart Hills","Zakhart Hills",,
"String","0x38309","0x38313","vwf standard","南カルミスタ森林地帯","Southern Calmista Woods","Southern Calmista Woods",,
"String","0x38313","0x38319","vwf standard","南ガザ砂漠地帯","Southern Gaza Desert","Southern Gaza Desert",,
"String","0x38319","0x38323","vwf standard","北ウンバール湿原地帯","Northern Umbar Marshes","Northern Umbar Marshes",,
"FontPack","0x3844D","0x38492",,,,,,
"String","0x38323","0x38325","vwf standard","北セレブラス森林地帯","Northern Selebrath Woods","Northern Selebrath Woods",,
"String","0x38325","0x3832C","vwf standard","モルガルド密林地帯","Morgard Forest","Morgard Forest",,
"String","0x3832C","0x38331","vwf standard","クロエルン城塞都市跡","Kloeln Citadel Ruins","Kloeln Citadel Ruins",,
"String","0x38331","0x38337","vwf standard","ウルハ砂漠地帯","Uruha Desert","Uruha Desert",,
"String","0x38337","0x38341","vwf standard","南ウンバール湿原地帯","Southern Umbar Marshes","Southern Umbar Marshes",,
"String","0x38341","0x38344","vwf standard","南セレブラス森林地帯","Southern Selebrath Woods","Southern Selebrath Woods",,
"String","0x38344","0x3834E","vwf standard","西グラファス山岳地帯","Western Graphas Mountains","Western Graphas Mountains",,
"String","0x3834E","0x38358","vwf standard","東グラファス山岳地帯","Eastern Graphas Mountains","Eastern Graphas Mountains",,
"FontPack","0x38492","0x384D0",,,,,,
"String","0x38358","0x3835A","vwf standard","ファミール平原地帯","Famil Plains","Famil Plains",,
"String","0x3835A","0x38361","vwf standard","カツーオ丘陵地帯","Catuo Hills","Catuo Hills",,
"String","0x38361","0x38369","vwf standard","シヤバカナ丘陵地帯","Siavacana Hills","Siavacana Hills",,
"String","0x38369","0x38373","vwf standard","バッシュラー火山地帯","Bashler Volcano","Bashler Volcano",,
"String","0x38373","0x3837B","vwf standard","ニタラク丘陵地帯","Nitarak Hills","Nitarak Hills",,
"String","0x3837B","0x38382","vwf standard","トスカニア平原地帯","Toscania Plains","Toscania Plains",,
"String","0x38382","0x3838B","vwf standard","モルソルン山岳地帯","Morthorn Mountains","Morthorn Mountains",,
"String","0x3838B","0x3838F","vwf standard","ワーグズ島／遺跡","Wargs Island/Ruins","Wargs Island/Ruins",,
"FontPack","0x384D0","0x38515",,,,,,
"String","0x3838F","0x38393","vwf standard","シュミシュミ森林地帯","Sumisumi Woods","Sumisumi Woods",,
"String","0x38393","0x3839A","vwf standard","マステンス平原地帯","Mastenth Plains","Mastenth Plains",,
"String","0x3839A","0x3839F","vwf standard","北ジャグ湿原地帯","Northern Jague Marshes","Northern Jague Marshes",,
"String","0x3839F","0x383A5","vwf standard","南ジャグ湿原地帯","Southern Jague Marshes","Southern Jague Marshes",,
"String","0x383A5","0x383AB","vwf standard","ギルフレイ平原地帯","Guilflay Plains","Guilflay Plains",,
"String","0x383AB","0x383B3","vwf standard","シュワルベ密林地帯","Schwalbe Forest","Schwalbe Forest",,
"String","0x383B3","0x383BA","vwf standard","ビスティッツ森林地帯","Vistitz Woods","Vistitz Woods",,
"String","0x383BA","0x383C2","vwf standard","ロンバニオ平原地帯","Lombanio Plains","Lombanio Plains",,
,,,,"//=================================================",,,,
,,,,"// Simple battle: global messages",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x17AE8","0x17B10",,,,,,
"String","0x17B10","0x17B14","vwf narrow","第　ターン","Turn","Turn [number]",,
"String","0x17B14","0x17B16","vwf narrow pad 32","攻撃側","Attacker","Attacker","Attckr",
"String","0x17B16","0x17B19","vwf narrow pad 32","防御側","Defender","Defender","Dfndr",
"String","0x17B19","0x17B1B","vwf narrow pad 32","配置","Deploying","Positioning","Dply",
"String","0x17B1B","0x17B1D","vwf narrow pad 32","策略","Scheme","Stratagem","Tact",
"String","0x17B1D","0x17B1F","vwf narrow pad 32","行動","Action","Action","Act ",
"String","0x17B1F","0x17B21","vwf narrow","平地","Plains","Plains","Flat",
"String","0x17B21","0x17B23","vwf narrow","荒地","Wastes","Wasteland","Wldr",
"String","0x17B23","0x17B25","vwf narrow","林　","Woods","Woods","Wood",
"String","0x17B25","0x17B27","vwf narrow","森林","Forest","Forest","Frst",
"String","0x17B27","0x17B29","vwf narrow","密林","Thicket","Thicket","Jngl",
"String","0x17B29","0x17B2B","vwf narrow","砂漠","Desert","Desert","Dsrt",
"String","0x17B2B","0x17B2D","vwf narrow","湿原","Marsh","Marsh","Mrsh",
"String","0x17B2D","0x17B2F","vwf narrow","沼地","Swamp","Swamp","Swmp",
"String","0x17B2F","0x17B31","vwf narrow","湿林","Quagmire","Rainforest","Wet ",
"String","0x17B31","0x17B33","vwf narrow","火口","Volcano","Volcano","Crtr",
"String","0x17B33","0x17B35","vwf narrow","都市","Town","Town","Town",
"String","0x17B35","0x17B37","vwf narrow","泉　","Spring","Spring","Fntn",
"String","0x17B37","0x17B39","vwf narrow","海　","Sea","Sea","Sea ",
"String","0x17B39","0x17B3B","vwf standard pad 32","停止","Halted","Halted","Stop",
"String","0x17B3B","0x17B3D","vwf standard pad 32","石化","Petrifi.","Petrified","Petr",
"String","0x17B3D","0x17B3F","vwf standard pad 32","マヒ","Paralyz.","Paralyzed","Para",
"String","0x17B3F","0x17B41","vwf standard pad 32","待機","Standby","Standby","Wait",
"String","0x17B41","0x17B43","vwf standard pad 32","移動","Move","Move","Move",
"String","0x17B43","0x17B45","vwf standard pad 32","攻撃","Attack","Attack","Atck",
"String","0x17B45","0x17B47","vwf standard pad 32","突撃","Charge","Charge","Aslt",
"String","0x17B47","0x17B49","vwf standard pad 32","魔法","Magic","Magic","Mag ",
"String","0x17B49","0x17B4B","vwf standard pad 32","状態","Status","Status","Stat",
"String","0x17B4B","0x17B4D","vwf standard pad 32","退却","Retreat","Retreat","Flee",
"String","0x17B4D","0x17B4F","vwf standard","ご命令を","Your orders?","Your orders","Your orders?",
,,,,"//=================================================",,,,
,,,,"// ? something from simple battle",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x1FF2C","0x1FF5A",,,,,,
"String","0x1FF5A","0x1FF5C","vwf standard","終了しますか？","End?","End?",,
"String","0x1FF5C","0x1FF5E","vwf standard","終了します","Ending.","Ending",,
"String","0x1FF5E","0x1FF62","vwf standard","どれを配置しますか？","Deploy whom?","Position who?",,
"String","0x1FF62","0x1FF67","vwf standard","どれを戻しますか？","Return whom?","Return who?",,
"String","0x1FF67","0x1FF6E","vwf standard","どこに配置しますか？","Deploy where?","Position where?",,
"String","0x1FF6E","0x1FF75","vwf standard","戦争を委任しますか？","Delegate battle?","Delegate battle?",,
"String","0x1FF75","0x1FF7C","vwf standard","戦争を指揮します","You have command.","You have command.",,
"String","0x1FF7C","0x1FF83","vwf standard","戦争を委任します","Delegating command.","Delegating command.",,
"String","0x1FF83","0x1FF87","vwf standard","指揮する","Control","Control",,
"String","0x1FF87","0x1FF8B","vwf standard","委任する","Delegate","Delegate",,
"String","0x1FF8B","0x1FF94","vwf standard","攻撃側に指揮官がいない！","Attacking side has no commander!","Attacking side has no commander!",,
"String","0x1FF94","0x1FF9E","vwf standard","防御側に指揮官がいない！","Defending side has no commander!","Defending side has no commander!",,
,,,,"//=================================================",,,,
,,,,"// Simple battle status messages?",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x1A976","0x1A9A8",,,,,,
,,,"IMPORTANT: repeat of another string with different pack. MUST be same message, at start of pack!",,,,,
"String","0x1928E","0x19290","vwf standard","は倒れた！"," defeated!"," has been defeated!",,
,,,,,,,,
"String","0x1A9A8","0x1A9AD","vwf standard","は再生した！"," is regenerating!"," is regenerating!",,
"String","0x1A9AD","0x1A9B2","vwf standard","は毒された！"," is poisoned!"," is poisoned!",,
"String","0x1A9B2","0x1A9B5","vwf standard","防御側の士気が低下！","Defending side morale decreased!","Defending side morale decreased!",,
"String","0x1A9B5","0x1A9BD","vwf standard","攻撃側は指揮官を失った！","Attacking side lost commander!","Attacking side lost commander!",,
"String","0x1A9BD","0x1A9C4","vwf standard","防御側は指揮官を失った！","Defending side lost commander!","Defending side lost commander!",,
,,,,"//=================================================",,,,
,,,,"// Simple battle: Wait",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x1911E","0x19128",,,,,,
"String","0x19128","0x1912A","vwf standard","待機しますか？","Stand by?","Stand by?",,
"String","0x1912A","0x1912C","vwf standard","待機します","Standing by.","Standing by.",,
,,,,"//=================================================",,,,
,,,,"// Simple battle: Move",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x190B0","0x190C5",,,,,,
"String","0x190C5","0x190C7","vwf standard","上へ移動","Move up","Move up",,
"String","0x190C7","0x190CA","vwf standard","下へ移動","Move down","Move down",,
"String","0x190CA","0x190CC","vwf standard","どれですか？","Which one?","Which one?",,
"String","0x190CC","0x190D3","vwf standard","もう移動できません！","Cannot move any further!","Cannot move any further!",,
,,,,"//=================================================",,,,
,,,,"// Simple battle: Attack/Charge(?)",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x1923E","0x1928E",,,,,,
"String","0x1928E","0x19290","vwf standard","は倒れた！"," defeated!"," has been defeated!",,
"String","0x19290","0x19293","vwf standard","格　闘","Melee","Melee",,
"String","0x19293","0x19296","vwf standard","射　撃","Ranged","Ranged",,
"String","0x19296","0x19299","vwf standard","火　炎","Fire","Fire",,
"String","0x19299","0x1929B","vwf standard","ブレス","Breath","Breath",,
"String","0x1929B","0x1929F","vwf standard","どれですか？","Which one?","Which one?",,
"String","0x1929F","0x192A3","vwf standard","敵がいない！","No enemies!","No enemies!",,
"String","0x192A3","0x192A9","vwf standard","突撃できません！","Cannot charge!","Cannot charge!",,
"String","0x192A9","0x192B1","vwf standard","ブレスが吐けない！","Cannot emit breath!","Cannot emit breath!",,
"String","0x192B1","0x192B7","vwf standard","突撃しますか？","Charge?","Charge?",,
"String","0x192B7","0x192BC","vwf standard","突撃します","Charging.","Charging.",,
"String","0x192BC","0x192C4","vwf standard","敵が範囲内にいない！","No enemies in range!","No enemies in range!",,
"String","0x192C4","0x192C9","vwf standard","攻撃します","Attacking.","Attacking.",,
"String","0x192C9","0x192CE","vwf standard","致命的命中！","Lethal strike!","Lethal strike!",,
"String","0x192CE","0x192D1","vwf standard","命中！","Hit!","Hit!",,
"String","0x192D1","0x192D6","vwf standard","効果なし！","No effect!","No effect!",,
"String","0x192D6","0x192DA","vwf standard","はずれ！","Miss!","Miss!",,
"String","0x192DA","0x192E4","vwf standard","敵と隣接してできない！","Cannot do while next to enemy!","Cannot do while next to enemy!",,
,,,,"//=================================================",,,,
,,,,"// Simple battle: Magic",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x1B8B2","0x1B903",,,,,,
,,,,"// Spell categories",,,,
,,,,,,,,
"String","0x1B903","0x1B905","vwf standard","地の魔法","[space8px]Earth[space4px]Spell","Earth Spell",,
"String","0x1B907","0x1B90A","vwf standard","水の魔法","[space8px]Water[space4px]Spell","Water Spell",,
"String","0x1B90B","0x1B90E","vwf standard","火の魔法","[space8px]Fire[space8px][space4px]Spell","Fire Spell",,
"String","0x1B90F","0x1B912","vwf standard","風の魔法","[space8px]Wind[space6px][space4px]Spell","Wind Spell",,
"String","0x1B913","0x1B917","vwf standard","精神魔法","[space8px]Mind[space6px][space4px]Spell","Mind Spell",,
"String","0x1B917","0x1B91B","vwf standard","暗黒魔法","[space8px]Dark[space4px][space4px]Spell","Dark Spell",,
,,,,"// Messages",,,,
,,,,,,,,
"String","0x1B91B","0x1B91D","vwf standard","どれですか？","Which one?","Which one?",,
"String","0x1B91D","0x1B921","vwf standard","魔法が使えない！","Cannot use magic!","Cannot use magic!",,
"String","0x1B921","0x1B927","vwf standard","移動してできない！","Cannot move!","Cannot move!",,
"String","0x1B927","0x1B92E","vwf standard","魔力がたりない！","Not enough MP!","Not enough MP!",,
"String","0x1B92E","0x1B933","vwf standard","敵がいない！","No enemies!","No enemies!",,
"String","0x1B933","0x1B93A","vwf standard","すでに実行した！","Already done!","Already done!",,
"String","0x1B93A","0x1B943","vwf standard","部隊が呪われてる！","Squadron is cursed!","Squadron is cursed!",,
"String","0x1B943","0x1B948","vwf standard","意味がない！","Pointless!","Pointless!",,
"String","0x1B948","0x1B94C","vwf standard","できない！","Can't do that!","Unable to do!",,
"String","0x1B94C","0x1B953","vwf standard","魔法をかけた！","Casting spell!","Casting spell!",,
"String","0x1B953","0x1B958","vwf standard","成功した！","Success!","Success!",,
"String","0x1B958","0x1B95D","vwf standard","失敗した！","Failed!","Failed!",,
"String","0x1B95D","0x1B962","vwf standard","を倒した！"," defeated!"," defeated!",,
"String","0x1B962","0x1B969","vwf standard","MPが回復した","MP restored.","MP restored.",,
,,,,"//=================================================",,,,
,,,,"// Simple battle: Status 1",,,,
,,,,"// Note that ALL status screens share string",,,,
,,,,"// structure of 0x18E9D == current screen label",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x18DA2","0x18DD3",,,,,,
"String","0x18DA2","0x18E9F","vwf standard","基本データ","Basic Data","Basic Data","0x18E9D",
"String","0x18E9F","0x18EA5","vwf standard","HP　　　　機敏","HP[space6px][space16px][space16px][space16px][space16px][space16px]Speed","HP   Speed",,
"String","0x18EA5","0x18EAB","vwf standard","移動　　　　士気","Move[space3px][space8px][space16px][space16px][space16px][space16px]Morale","Move   Morale",,
"String","0x18EAB","0x18EB1","vwf standard","技量　　　　再生","Skill[space6px][space8px][space16px][space16px][space16px][space16px]Regen","Skill   Regen",,
"String","0x18EB1","0x18EB7","vwf standard","装甲　　　　得点","Armor[space6px][space16px][space16px][space16px][space16px]Score","Armor   Score",,
"String","0x18EB7","0x18EB9","vwf standard","英雄","Hero","Hero",,
,,,,"//=================================================",,,,
,,,,"// Simple battle: Status 2",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x18DD3","0x18E31",,,,,,
"String","0x18DD3","0x18E9F","vwf standard","攻撃データ","Combat Data","Combat Data","0x18E9D",
,,,,"// labels",,,,
,,,,,,,,
"String","0x18EB9","0x18EBA","vwf standard","特","Spec:","Sp","special",
"String","0x18EBA","0x18EBB","vwf standard","格","Clos:","Cl","close-ranged",
"String","0x18EBB","0x18EBC","vwf standard","射","Shot:","Sh","shooting",
"String","0x18EBC","0x18EBD","vwf standard","回","[x]","x","“times” symbol, e.g. “Claws x2”",
,,,,"// attack names",,,,
,,,,,,,,
"String","0x18EBD","0x18EBF","vwf standard","騎搶","Spear","Spear","[space8px]Spear",
"String","0x18EC1","0x18EC2","vwf standard","剣","Sword","Sword","[space8px]Sword",
"String","0x18EC5","0x18EC6","vwf standard","斧","Axe","Axe","[space8px]Axe",
"String","0x18EC9","0x18ECB","vwf standard","戦斧","Battleaxe","Battleaxe","[space8px]Battleaxe",
"String","0x18ECD","0x18ECE","vwf standard","杖","Staff","Staff","[space8px]Staff",
"String","0x18ED1","0x18ED3","vwf standard","フレイル","Flail","Flail","[space8px]Flail",
"String","0x18ED5","0x18ED7","vwf standard","こん棒","Club","Club","[space8px]Club",
"String","0x18ED9","0x18EDB","vwf standard","ムチ","Whip","Whip","[space8px]Whip",
"String","0x18EDD","0x18EDF","vwf standard","蹴る","Kick","Kick","[space8px]Kick",
"String","0x18EE1","0x18EE2","vwf standard","爪","Claws","Claws","[space8px]Claws",
"String","0x18EE5","0x18EE7","vwf standard","噛む","Bite","Bite","[space8px]Bite",
"String","0x18EE9","0x18EEA","vwf standard","角","Horn","Horn","[space8px]Horn",
"String","0x18EED","0x18EEF","vwf standard","殴る","Strike","Strike","[space8px]Strike",
"String","0x18EF1","0x18EF3","vwf standard","くちばし","Beak","Beak","[space8px]Beak",
"String","0x18EF5","0x18EF7","vwf standard","尻尾","Tail","Tail","[space8px]Tail",
"String","0x18EF9","0x18EFA","vwf standard","弓","Bow","Bow","[space8px]Bow",
"String","0x18EFD","0x18F00","vwf standard","にらむ","Gaze","Gaze","[space8px]Gaze",
"String","0x18F01","0x18F03","vwf standard","投岩","Rock Throw","Rock Throw","[space8px]Rock Throw",
"String","0x18F05","0x18F07","vwf standard","投搶","Spear Throw","Spear Throw","[space8px]Spear Throw",
"String","0x18F09","0x18F0B","vwf standard","冷凍刃","Ice Blade","Ice Blade","[space8px]Ice Blade",
"String","0x18F0D","0x18F0F","vwf standard","火球","Fire Ball","Fire Ball","[space8px]Fire Ball",
"String","0x18F11","0x18F13","vwf standard","電撃","Lightning","Lightning","[space8px]Lightning",
"String","0x18F15","0x18F17","vwf standard","火炎","Flame","Flame","[space8px]Flame",
"String","0x18F19","0x18F1C","vwf standard","ブレス","Breath","Breath","[space8px]Breath",
,,,,"//=================================================",,,,
,,,,"// Simple battle: Status 3",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x18E31","0x18E6E",,,,,,
"String","0x18E31","0x18E9F","vwf standard","魔法データ","Magic Data","Magic Data","0x18E9D",
"String","0x18F1D","0x18F25","vwf standard","魔法レベル　　MP","Magic Level[space16px][space16px][space16px][space16px][space16px]MP","Magic Level   MP",,
"String","0x18F25","0x18F27","vwf standard","属性","Attribute","Attribute",,
"String","0x18F27","0x18F29","vwf standard","魔力","Magic","Magic",,
"String","0x18F29","0x18F2D","vwf standard","精霊魔法","Spirit Magic","Spirit Magic",,
"String","0x18F2D","0x18F2E","vwf standard center","地","Er","Earth",,
"String","0x18F2E","0x18F2F","vwf standard center","水","Wa","Water",,
"String","0x18F2F","0x18F30","vwf standard center","火","Fi","Fire",,
"String","0x18F30","0x18F31","vwf standard center","風","Wi","Wind",,
"String","0x18F31","0x18F35","vwf standard","精神魔法","Mind Magic","Mind Magic",,
"String","0x18F35","0x18F39","vwf standard","暗黒魔法","Dark Magic","Dark Magic",,
"String","0x18F39","0x18F3F","vwf standard","この部隊は魔法が使えない","This Squadron cannot use magic.","This squadron cannot use magic.",,
,,,,"//=================================================",,,,
,,,,"// Simple battle: Status 4",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x18E6E","0x18E9D",,,,,,
"String","0x18E6E","0x18E9F","vwf standard","特性データ","Special Traits","Special Traits","0x18E9D",
"String","0x18F3F","0x18F41","vwf standard","毒化しない","Poison Immunity","Poison Immunity",,
"String","0x18F41","0x18F44","vwf standard","石化しない","Petrification[space3px]Immunity","Petrification Immunity",,
